"","x"
"Q50_5","ratom ar/ver mimarTeT? - Zalian Zviria/ar maqvs sakmarisi Tanxa;"
"Q50_6","ratom ar/ver mimarTeT? - ver davadgine kargi specialisti/eqimi;"
"Q50_7","ratom ar/ver mimarTeT? - ar vicodi visTvis mimemarTa;"
"Q50_8","ratom ar/ver mimarTeT? - ar vendobi jandacvis sistemas;"
"Q50_9","ratom ar/ver mimarTeT? - TviTon var (an Sinameurneobis wevri aris) eqimi;"
"Q50_10","ratom ar/ver mimarTeT? - vici (an Sinameurneobis wevrma icis) rogor vimkurnalo;"
"Q50_11","ratom ar/ver mimarTeT? - dro ar mqonda;"
"Q50_12","ratom ar/ver mimarTeT? - eqimis an/da mkurnalobis SiSi;"
"Q50_13","ratom ar/ver mimarTeT? - sxva"
"Q50_14","ratom ar/ver mimarTeT? - miWirs pasuxis gacema"
"Q50_O","ratom ar/ver mimarTeT? - sxva (teqsti)"
"Q51","xarT Tu ara regularuli mweveli?"
"Q52","ramdeni wlis iyaviT rodesac daiwyeT sigaretis moweva regularulad?"
"Q53","saSualod dReSi ramden Rer sigarets eweodiT gasuli Tvis manZilze?"
"Q54","dagileviaT Tu ara alkoholuri sasmeli gasuli 12 Tvis manZilze?"
"Q55","gasuli 12 Tvis ganmavlobaSi saSualod ra sixSiriT iRebdiT alkoholur sasmels (igulisxmeba nebismieri alkoholuri sasmeli)?"
"Q56_R1","gasuli 12 Tvis ganmavlobaSi saSualod ra odenobis alkoholur sasmels iRebdiT kviraSi Semdegi cxrilis mixedviT? - Zlieri alkoholuri sasmelebi (arayi, koniaki, viski da a. S.)"
"Q56_R2","gasuli 12 Tvis ganmavlobaSi saSualod ra odenobis alkoholur sasmels iRebdiT kviraSi Semdegi cxrilis mixedviT? - saSualo siZlieris alkoholuri sasmelebi (liqiori, martini, portveini da a.S.)"
"Q56_R3","gasuli 12 Tvis ganmavlobaSi saSualod ra odenobis alkoholur sasmels iRebdiT kviraSi Semdegi cxrilis mixedviT? - SedarebiT susti alkoholuri sasmelebi (Rvino, Sampanuri)"
"Q56_R4","gasuli 12 Tvis ganmavlobaSi saSualod ra odenobis alkoholur sasmels iRebdiT kviraSi Semdegi cxrilis mixedviT? - susti alkoholuri sasmelebi (ludi)"
"Q57","gsmeniaT Tu ara aiv/Sidsis Sesaxeb?"
"Q58_1","Tqveni azriT, qvemoT CamoTvlilTagan aiv infeqcia ra gzebiT SeiZleba gadaedos adamians? - sqesobrivi kontaqtiT prezervativis gareSe;"
"Q58_2","Tqveni azriT, qvemoT CamoTvlilTagan aiv infeqcia ra gzebiT SeiZleba gadaedos adamians? - Spricebis gaziarebiT narkotikis ineqciuri moxmarebis dros;"
"Q58_3","Tqveni azriT, qvemoT CamoTvlilTagan aiv infeqcia ra gzebiT SeiZleba gadaedos adamians? - aiv inficirebuli dedidan Svilze;"
"Q58_4","Tqveni azriT, qvemoT CamoTvlilTagan aiv infeqcia ra gzebiT SeiZleba gadaedos adamians? - xelis CamorTmeviT;"
"Q58_5","Tqveni azriT, qvemoT CamoTvlilTagan aiv infeqcia ra gzebiT SeiZleba gadaedos adamians? - haer-wveTovani gziT;"
"Q58_6","Tqveni azriT, qvemoT CamoTvlilTagan aiv infeqcia ra gzebiT SeiZleba gadaedos adamians? - koRos kbeniT;"
"Q58_7","Tqveni azriT, qvemoT CamoTvlilTagan aiv infeqcia ra gzebiT SeiZleba gadaedos adamians? - aiv inficirebulis napirali Wiqis, saerTo tualetis, auzis, saunis gamoyenebiT;"
"Q58_8","Tqveni azriT, qvemoT CamoTvlilTagan aiv infeqcia ra gzebiT SeiZleba gadaedos adamians? - arc erTi CamoTvlilTagan"
"Q59","Tqveni azriT, SeiZleba Tu ara, rom garegnulad janmrTeli adamiani aiv inficirebuli iyos?"
"Q60_1","Tqveni azriT, aiv infeqciis gadacemis Tavidan acilebis saSualebebia - prezervativis regularuli swori moxmareba;"
"Q60_2","Tqveni azriT, aiv infeqciis gadacemis Tavidan acilebis saSualebebia - ineqciuri (Spricis gamoyenebiT) narkotikebis moxmarebaze uaris Tqma;"
"Q60_3","Tqveni azriT, aiv infeqciis gadacemis Tavidan acilebis saSualebebia - sqesobrivi cxovrebis dawyebis gadavadeba;"
"Q60_4","Tqveni azriT, aiv infeqciis gadacemis Tavidan acilebis saSualebebia - sviringis (tatu) da pirsingis gakeTeba mxolod serTificirebul centrebSi;"
"Q60_5","Tqveni azriT, aiv infeqciis gadacemis Tavidan acilebis saSualebebia - Tu orsuli qali aiv inficirebulia man unda miiRos medikamentebi dedidan Svilze aivis gadacemis Tavidan asacileblad;"
"Q60_6","Tqveni azriT, aiv infeqciis gadacemis Tavidan acilebis saSualebebia - arc erTi CamoTvlilTagan"
"Q61_1","Tqveni azriT, SeiZleba Tu ara, rom Sids-is gamomwvevi virusi dedisgan Svils gadaeces - orsulobis dros;"
"Q61_2","Tqveni azriT, SeiZleba Tu ara, rom Sids-is gamomwvevi virusi dedisgan Svils gadaeces - mSobiarobis dros;"
"Q61_3","Tqveni azriT, SeiZleba Tu ara, rom Sids-is gamomwvevi virusi dedisgan Svils gadaeces - ZuZuTi kvebis dros;"
"Q61_4","Tqveni azriT, SeiZleba Tu ara, rom Sids-is gamomwvevi virusi dedisgan Svils gadaeces - arc erTi CamoTvlilTagan;"
"Q61_5","Tqveni azriT, SeiZleba Tu ara, rom Sids-is gamomwvevi virusi dedisgan Svils gadaeces - miWirs pasuxis gacema"
"Q62","Tqveni azriT, aris Tu ara aivze testireba erTaderTi gza aiv inficirebis dasadgenad?"
"Q63","odesme Tu CagitarebiaT testireba aivze?"
"Q64_1","ratom ar gaqvT Catarebuli testireba aivze? - arasodes davfiqrebulvar amaze;"
"Q64_2","ratom ar gaqvT Catarebuli testireba aivze? - vTvli, rom ar var aiv inficirebuli (aiv inficirebis Zalian dabali riski maqvs);"
"Q64_3","ratom ar gaqvT Catarebuli testireba aivze? - kidec rom mqondes aiv infeqcia, mirCevnia, ar vicode amis Sesaxeb;"
"Q64_4","ratom ar gaqvT Catarebuli testireba aivze? - vfiqrobdi, rom mSoblebis Tanxmobis gareSe ver Cavitarebdi testirebas;"
"Q64_5","ratom ar gaqvT Catarebuli testireba aivze? - ar maqvs piradobis damadasturebeli mowmoba (pasporti);"
"Q64_6","ratom ar gaqvT Catarebuli testireba aivze? - meSinoda, rom aRricxvaze damayenebdnen samedicino dawesebulebaSi;"
"Q64_7","ratom ar gaqvT Catarebuli testireba aivze? - meSinia, rom testirebis dros SeiZleba damainficiron;"
"Q64_8","ratom ar gaqvT Catarebuli testireba aivze? - ar vici, sad SeiZleba testirebis gavla; ?66"
"Q64_9","ratom ar gaqvT Catarebuli testireba aivze? - testirebisaTvis fulis gadaxda iyo saWiro;"
"Q64_10","ratom ar gaqvT Catarebuli testireba aivze? - irgvlivmyofebisa da megobrebis mxridan uaryofiTi Sefasebis molodini, Tu isini gaigeben rom me vitareb testirebas aivze;"
"Q64_11","ratom ar gaqvT Catarebuli testireba aivze? - SiSi, rom medicinis muSakebi mSoblebs Seatyobineben testirebis Sedegebs;"
"Q64_12","ratom ar gaqvT Catarebuli testireba aivze? - sxva"
"Q64_O","ratom ar gaqvT Catarebuli testireba aivze? - sxva (teqsti)"
"Q65","iciT Tu ara dawesebuleba, sadac SeiZleba gakeTdes analizi aiv infeqcia/Sids-ze?"
"Q65_O","iciT Tu ara dawesebuleba, sadac SeiZleba gakeTdes analizi aiv infeqcia/Sids-ze? (teqsti)"
"Q66_1","Tqveni azriT, CamoTvlilTagan, romeli daavadebebi gadaecema sqesobrivi kontaqtis gziT? - sifilisi;"
"Q66_2","Tqveni azriT, CamoTvlilTagan, romeli daavadebebi gadaecema sqesobrivi kontaqtis gziT? - gonorea;"
"Q66_3","Tqveni azriT, CamoTvlilTagan, romeli daavadebebi gadaecema sqesobrivi kontaqtis gziT? - meningiti;"
"Q66_4","Tqveni azriT, CamoTvlilTagan, romeli daavadebebi gadaecema sqesobrivi kontaqtis gziT? - qlamidia;"
"Q66_5","Tqveni azriT, CamoTvlilTagan, romeli daavadebebi gadaecema sqesobrivi kontaqtis gziT? - pnevmonia"
"Q66_6","Tqveni azriT, CamoTvlilTagan, romeli daavadebebi gadaecema sqesobrivi kontaqtis gziT? - sokovani daavadebebi;"
"Q66_7","Tqveni azriT, CamoTvlilTagan, romeli daavadebebi gadaecema sqesobrivi kontaqtis gziT? - impotencia;"
"Q66_8","Tqveni azriT, CamoTvlilTagan, romeli daavadebebi gadaecema sqesobrivi kontaqtis gziT? - genitaluri herpesi;"
"Q66_9","Tqveni azriT, CamoTvlilTagan, romeli daavadebebi gadaecema sqesobrivi kontaqtis gziT? - triqomoniazi;"
"Q66_10","Tqveni azriT, CamoTvlilTagan, romeli daavadebebi gadaecema sqesobrivi kontaqtis gziT? - aiv/Sidsi;"
"Q66_11","Tqveni azriT, CamoTvlilTagan, romeli daavadebebi gadaecema sqesobrivi kontaqtis gziT? - arc erTi CamoTvlilTagan"
"Q66_12","Tqveni azriT, CamoTvlilTagan, romeli daavadebebi gadaecema sqesobrivi kontaqtis gziT? - miWirs pasuxis gacema"
"Q67_1","Tqveni azriT, Tu mamakacs aqvs sqesobrivi gziT gadamdebi daavadeba, CamoTvlilTagan ra ZiriTadi simptomebi SeiZleba aReniSnos mas? - muclis tkivili;"
"Q67_2","Tqveni azriT, Tu mamakacs aqvs sqesobrivi gziT gadamdebi daavadeba, CamoTvlilTagan ra ZiriTadi simptomebi SeiZleba aReniSnos mas? - sasqeso organoebis SeSupeba da tkivili;"
"Q67_3","Tqveni azriT, Tu mamakacs aqvs sqesobrivi gziT gadamdebi daavadeba, CamoTvlilTagan ra ZiriTadi simptomebi SeiZleba aReniSnos mas? - siyviTle Tvalis areSi;"
"Q67_4","Tqveni azriT, Tu mamakacs aqvs sqesobrivi gziT gadamdebi daavadeba, CamoTvlilTagan ra ZiriTadi simptomebi SeiZleba aReniSnos mas? - wva Sardvisas;"
"Q67_5","Tqveni azriT, Tu mamakacs aqvs sqesobrivi gziT gadamdebi daavadeba, CamoTvlilTagan ra ZiriTadi simptomebi SeiZleba aReniSnos mas? - gamonadeni;"
"Q67_6","Tqveni azriT, Tu mamakacs aqvs sqesobrivi gziT gadamdebi daavadeba, CamoTvlilTagan ra ZiriTadi simptomebi SeiZleba aReniSnos mas? - maRali temperatura;"
"Q67_7","Tqveni azriT, Tu mamakacs aqvs sqesobrivi gziT gadamdebi daavadeba, CamoTvlilTagan ra ZiriTadi simptomebi SeiZleba aReniSnos mas? - arc erTi CamoTvlilTagan"
"Q67_8","Tqveni azriT, Tu mamakacs aqvs sqesobrivi gziT gadamdebi daavadeba, CamoTvlilTagan ra ZiriTadi simptomebi SeiZleba aReniSnos mas? - miWirs pasuxis gacema"
"Q68_1","Tqveni azriT, Tu qals aqvs sqesobrivi gziT gadamdebi daavadeba, CamoTvlilTagan ra ZiriTadi simptomebi SeiZleba aReniSnos mas? - tkivili an/da wvis SegrZneba Sardvisas;"
"Q68_2","Tqveni azriT, Tu qals aqvs sqesobrivi gziT gadamdebi daavadeba, CamoTvlilTagan ra ZiriTadi simptomebi SeiZleba aReniSnos mas? - Tavis tkivili;"
"Q68_3","Tqveni azriT, Tu qals aqvs sqesobrivi gziT gadamdebi daavadeba, CamoTvlilTagan ra ZiriTadi simptomebi SeiZleba aReniSnos mas? - rZisebri an Cirqovani gamonadeni saSodan;"
"Q68_4","Tqveni azriT, Tu qals aqvs sqesobrivi gziT gadamdebi daavadeba, CamoTvlilTagan ra ZiriTadi simptomebi SeiZleba aReniSnos mas? - gulisrevis SegrZneba;"
"Q68_5","Tqveni azriT, Tu qals aqvs sqesobrivi gziT gadamdebi daavadeba, CamoTvlilTagan ra ZiriTadi simptomebi SeiZleba aReniSnos mas? - welis an muclis tkivili;"
"Q68_6","Tqveni azriT, Tu qals aqvs sqesobrivi gziT gadamdebi daavadeba, CamoTvlilTagan ra ZiriTadi simptomebi SeiZleba aReniSnos mas? - siyviTle Tvalis areSi;"
"Q68_7","Tqveni azriT, Tu qals aqvs sqesobrivi gziT gadamdebi daavadeba, CamoTvlilTagan ra ZiriTadi simptomebi SeiZleba aReniSnos mas? - arc erTi CamoTvlilTagan;"
"Q68_8","Tqveni azriT, Tu qals aqvs sqesobrivi gziT gadamdebi daavadeba, CamoTvlilTagan ra ZiriTadi simptomebi SeiZleba aReniSnos mas? - miWirs pasuxis gacema"
"Q69_1","ra/vin iyo TqvenTvis sqesobrivi gziT gadamdeb daavadebebze, maT Soris aiv/Sids-ze informaciis wyaro? - deda;"
"Q69_2","ra/vin iyo TqvenTvis sqesobrivi gziT gadamdeb daavadebebze, maT Soris aiv/Sids-ze informaciis wyaro? - mama;"
"Q69_3","ra/vin iyo TqvenTvis sqesobrivi gziT gadamdeb daavadebebze, maT Soris aiv/Sids-ze informaciis wyaro? - sxva naTesavi;"
"Q69_4","ra/vin iyo TqvenTvis sqesobrivi gziT gadamdeb daavadebebze, maT Soris aiv/Sids-ze informaciis wyaro? - meuRle/partniori;"
"Q69_5","ra/vin iyo TqvenTvis sqesobrivi gziT gadamdeb daavadebebze, maT Soris aiv/Sids-ze informaciis wyaro? - megobrebi, kolegebi, klaselebi;"
"Q69_6","ra/vin iyo TqvenTvis sqesobrivi gziT gadamdeb daavadebebze, maT Soris aiv/Sids-ze informaciis wyaro? - ojaxis dagegmvis dawesebuleba;"
"Q69_7","ra/vin iyo TqvenTvis sqesobrivi gziT gadamdeb daavadebebze, maT Soris aiv/Sids-ze informaciis wyaro? - ginekologi/urologi;"
"Q69_8","ra/vin iyo TqvenTvis sqesobrivi gziT gadamdeb daavadebebze, maT Soris aiv/Sids-ze informaciis wyaro? - sxva eqimi an eqTani;"
"Q69_9","ra/vin iyo TqvenTvis sqesobrivi gziT gadamdeb daavadebebze, maT Soris aiv/Sids-ze informaciis wyaro? - maswavlebeli;"
"Q69_10","ra/vin iyo TqvenTvis sqesobrivi gziT gadamdeb daavadebebze, maT Soris aiv/Sids-ze informaciis wyaro? - samedicino literatura;"
"Q69_11","ra/vin iyo TqvenTvis sqesobrivi gziT gadamdeb daavadebebze, maT Soris aiv/Sids-ze informaciis wyaro? - gazeTebi, broSurebi, Jurnalebi;"
"Q69_12","ra/vin iyo TqvenTvis sqesobrivi gziT gadamdeb daavadebebze, maT Soris aiv/Sids-ze informaciis wyaro? - radio, televizia;"
"Q69_13","ra/vin iyo TqvenTvis sqesobrivi gziT gadamdeb daavadebebze, maT Soris aiv/Sids-ze informaciis wyaro? - interneti;"
"Q69_14","ra/vin iyo TqvenTvis sqesobrivi gziT gadamdeb daavadebebze, maT Soris aiv/Sids-ze informaciis wyaro? - sxva"
"Q69_15","ra/vin iyo TqvenTvis sqesobrivi gziT gadamdeb daavadebebze, maT Soris aiv/Sids-ze informaciis wyaro? - miWirs pasuxis gacema"
"Q69_O","ra/vin iyo TqvenTvis sqesobrivi gziT gadamdeb daavadebebze, maT Soris aiv/Sids-ze informaciis wyaro? - sxva (teqsti)"
"Q70_C2_1","abebi (oraluri kontraceftivebi) - gsmeniaT Tu ara am meTodis/saSualebis Sesaxeb?"
"Q70_C3_1_1","abebi (oraluri kontraceftivebi) - rogor gaigeT am meTodis/saSualebis Sesaxeb? (1)"
"Q70_C3_2_1","abebi (oraluri kontraceftivebi) - rogor gaigeT am meTodis/saSualebis Sesaxeb? (2)"
"Q70_C3_3_1","abebi (oraluri kontraceftivebi) - rogor gaigeT am meTodis/saSualebis Sesaxeb? (3)"
"Q70_C3_4_1","abebi (oraluri kontraceftivebi) - rogor gaigeT am meTodis/saSualebis Sesaxeb? (4)"
"Q70_C3_5_1","abebi (oraluri kontraceftivebi) - rogor gaigeT am meTodis/saSualebis Sesaxeb? (5)"
"Q70_C3_6_1","abebi (oraluri kontraceftivebi) - rogor gaigeT am meTodis/saSualebis Sesaxeb? (6)"
"Q70_C4_1","abebi (oraluri kontraceftivebi) - iciT sad unda iSovoT/ miiRoT es meTodi/saSualeba?"
"Q70_C5_1","abebi (oraluri kontraceftivebi) - iciT rogor gamoiyenoT igi?"
"Q70_C6_1","abebi (oraluri kontraceftivebi) - odesme Tu gamogiyenebiaT igi?"
"Q70_C2_2","saSvilosnos Sida saSualeba (spirali) - gsmeniaT Tu ara am meTodis/saSualebis Sesaxeb?"
"Q70_C3_1_2","saSvilosnos Sida saSualeba (spirali) - rogor gaigeT am meTodis/saSualebis Sesaxeb? (1)"
"Q70_C3_2_2","saSvilosnos Sida saSualeba (spirali) - rogor gaigeT am meTodis/saSualebis Sesaxeb? (2)"
"Q70_C3_3_2","saSvilosnos Sida saSualeba (spirali) - rogor gaigeT am meTodis/saSualebis Sesaxeb? (3)"
"Q70_C3_4_2","saSvilosnos Sida saSualeba (spirali) - rogor gaigeT am meTodis/saSualebis Sesaxeb? (4)"
"Q70_C3_5_2","saSvilosnos Sida saSualeba (spirali) - rogor gaigeT am meTodis/saSualebis Sesaxeb? (5)"
"Q70_C3_6_2","saSvilosnos Sida saSualeba (spirali) - rogor gaigeT am meTodis/saSualebis Sesaxeb? (6)"
"Q70_C4_2","saSvilosnos Sida saSualeba (spirali) - iciT sad unda iSovoT/ miiRoT es meTodi/saSualeba?"
"Q70_C5_2","saSvilosnos Sida saSualeba (spirali) - iciT rogor gamoiyenoT igi?"
"Q70_C6_2","saSvilosnos Sida saSualeba (spirali) - odesme Tu gamogiyenebiaT igi?"
"Q70_C2_3","prezervativi - gsmeniaT Tu ara am meTodis/saSualebis Sesaxeb?"
"Q70_C3_1_3","prezervativi - rogor gaigeT am meTodis/saSualebis Sesaxeb? (1)"
"Q70_C3_2_3","prezervativi - rogor gaigeT am meTodis/saSualebis Sesaxeb? (2)"
"Q70_C3_3_3","prezervativi - rogor gaigeT am meTodis/saSualebis Sesaxeb? (3)"
"Q70_C3_4_3","prezervativi - rogor gaigeT am meTodis/saSualebis Sesaxeb? (4)"
"Q70_C3_5_3","prezervativi - rogor gaigeT am meTodis/saSualebis Sesaxeb? (5)"
"Q70_C3_6_3","prezervativi - rogor gaigeT am meTodis/saSualebis Sesaxeb? (6)"
"Q70_C4_3","prezervativi - iciT sad unda iSovoT/ miiRoT es meTodi/saSualeba?"
"Q70_C5_3","prezervativi - iciT rogor gamoiyenoT igi?"
"Q70_C6_3","prezervativi - odesme Tu gamogiyenebiaT igi?"
"Q70_C2_4","qafi/geli/malamo/aqafebadi abebi (adgilobrivi spermicidebi) - gsmeniaT Tu ara am meTodis/saSualebis Sesaxeb?"
"Q70_C3_1_4","qafi/geli/malamo/aqafebadi abebi (adgilobrivi spermicidebi) - rogor gaigeT am meTodis/saSualebis Sesaxeb? (1)"
"Q70_C3_2_4","qafi/geli/malamo/aqafebadi abebi (adgilobrivi spermicidebi) - rogor gaigeT am meTodis/saSualebis Sesaxeb? (2)"
"Q70_C3_3_4","qafi/geli/malamo/aqafebadi abebi (adgilobrivi spermicidebi) - rogor gaigeT am meTodis/saSualebis Sesaxeb? (3)"
"Q70_C3_4_4","qafi/geli/malamo/aqafebadi abebi (adgilobrivi spermicidebi) - rogor gaigeT am meTodis/saSualebis Sesaxeb? (4)"
"Q70_C3_5_4","qafi/geli/malamo/aqafebadi abebi (adgilobrivi spermicidebi) - rogor gaigeT am meTodis/saSualebis Sesaxeb? (5)"
"Q70_C3_6_4","qafi/geli/malamo/aqafebadi abebi (adgilobrivi spermicidebi) - rogor gaigeT am meTodis/saSualebis Sesaxeb? (6)"
"Q70_C4_4","qafi/geli/malamo/aqafebadi abebi (adgilobrivi spermicidebi) - iciT sad unda iSovoT/ miiRoT es meTodi/saSualeba?"
"Q70_C5_4","qafi/geli/malamo/aqafebadi abebi (adgilobrivi spermicidebi) - iciT rogor gamoiyenoT igi?"
"Q70_C6_4","qafi/geli/malamo/aqafebadi abebi (adgilobrivi spermicidebi) - odesme Tu gamogiyenebiaT igi?"
"Q70_C2_5","qalis sterilizacia - gsmeniaT Tu ara am meTodis/saSualebis Sesaxeb?"
"Q70_C3_1_5","qalis sterilizacia - rogor gaigeT am meTodis/saSualebis Sesaxeb? (1)"
"Q70_C3_2_5","qalis sterilizacia - rogor gaigeT am meTodis/saSualebis Sesaxeb? (2)"
"Q70_C3_3_5","qalis sterilizacia - rogor gaigeT am meTodis/saSualebis Sesaxeb? (3)"
"Q70_C3_4_5","qalis sterilizacia - rogor gaigeT am meTodis/saSualebis Sesaxeb? (4)"
"Q70_C3_5_5","qalis sterilizacia - rogor gaigeT am meTodis/saSualebis Sesaxeb? (5)"
"Q70_C3_6_5","qalis sterilizacia - rogor gaigeT am meTodis/saSualebis Sesaxeb? (6)"
"Q70_C4_5","qalis sterilizacia - iciT sad unda iSovoT/ miiRoT es meTodi/saSualeba?"
"Q70_C5_5","qalis sterilizacia - iciT rogor gamoiyenoT igi?"
"Q70_C6_5","qalis sterilizacia - odesme Tu gamogiyenebiaT igi?"
"Q70_C2_6","vazeqtomia - gsmeniaT Tu ara am meTodis/saSualebis Sesaxeb?"
"Q70_C3_1_6","vazeqtomia - rogor gaigeT am meTodis/saSualebis Sesaxeb? (1)"
"Q70_C3_2_6","vazeqtomia - rogor gaigeT am meTodis/saSualebis Sesaxeb? (2)"
"Q70_C3_3_6","vazeqtomia - rogor gaigeT am meTodis/saSualebis Sesaxeb? (3)"
"Q70_C3_4_6","vazeqtomia - rogor gaigeT am meTodis/saSualebis Sesaxeb? (4)"
"Q70_C3_5_6","vazeqtomia - rogor gaigeT am meTodis/saSualebis Sesaxeb? (5)"
"Q70_C3_6_6","vazeqtomia - rogor gaigeT am meTodis/saSualebis Sesaxeb? (6)"
"Q70_C4_6","vazeqtomia - iciT sad unda iSovoT/ miiRoT es meTodi/saSualeba?"
"Q70_C5_6","vazeqtomia - iciT rogor gamoiyenoT igi?"
"Q70_C6_6","vazeqtomia - odesme Tu gamogiyenebiaT igi?"
"Q70_C2_7","ineqciebi - gsmeniaT Tu ara am meTodis/saSualebis Sesaxeb?"
"Q70_C3_1_7","ineqciebi - rogor gaigeT am meTodis/saSualebis Sesaxeb? (1)"
"Q70_C3_2_7","ineqciebi - rogor gaigeT am meTodis/saSualebis Sesaxeb? (2)"
"Q70_C3_3_7","ineqciebi - rogor gaigeT am meTodis/saSualebis Sesaxeb? (3)"
"Q70_C3_4_7","ineqciebi - rogor gaigeT am meTodis/saSualebis Sesaxeb? (4)"
"Q70_C3_5_7","ineqciebi - rogor gaigeT am meTodis/saSualebis Sesaxeb? (5)"
"Q70_C3_6_7","ineqciebi - rogor gaigeT am meTodis/saSualebis Sesaxeb? (6)"
"Q70_C4_7","ineqciebi - iciT sad unda iSovoT/ miiRoT es meTodi/saSualeba?"
"Q70_C5_7","ineqciebi - iciT rogor gamoiyenoT igi?"
"Q70_C6_7","ineqciebi - odesme Tu gamogiyenebiaT igi?"
"Q70_C2_8","gadaudebeli hormonuli kontracefcia („dilis abi“) - gsmeniaT Tu ara am meTodis/saSualebis Sesaxeb?"
"Q70_C3_1_8","gadaudebeli hormonuli kontracefcia („dilis abi“) - rogor gaigeT am meTodis/saSualebis Sesaxeb? (1)"
"Q70_C3_2_8","gadaudebeli hormonuli kontracefcia („dilis abi“) - rogor gaigeT am meTodis/saSualebis Sesaxeb? (2)"
"Q70_C3_3_8","gadaudebeli hormonuli kontracefcia („dilis abi“) - rogor gaigeT am meTodis/saSualebis Sesaxeb? (3)"
"Q70_C3_4_8","gadaudebeli hormonuli kontracefcia („dilis abi“) - rogor gaigeT am meTodis/saSualebis Sesaxeb? (4)"
"Q70_C3_5_8","gadaudebeli hormonuli kontracefcia („dilis abi“) - rogor gaigeT am meTodis/saSualebis Sesaxeb? (5)"
"Q70_C3_6_8","gadaudebeli hormonuli kontracefcia („dilis abi“) - rogor gaigeT am meTodis/saSualebis Sesaxeb? (6)"
"Q70_C4_8","gadaudebeli hormonuli kontracefcia („dilis abi“) - iciT sad unda iSovoT/ miiRoT es meTodi/saSualeba?"
"Q70_C5_8","gadaudebeli hormonuli kontracefcia („dilis abi“) - iciT rogor gamoiyenoT igi?"
"Q70_C6_8","gadaudebeli hormonuli kontracefcia („dilis abi“) - odesme Tu gamogiyenebiaT igi?"
"Q70_C2_9","temperaturuli /kalendaruli meTodi - gsmeniaT Tu ara am meTodis/saSualebis Sesaxeb?"
"Q70_C3_1_9","temperaturuli /kalendaruli meTodi - rogor gaigeT am meTodis/saSualebis Sesaxeb? (1)"
"Q70_C3_2_9","temperaturuli /kalendaruli meTodi - rogor gaigeT am meTodis/saSualebis Sesaxeb? (2)"
"Q70_C3_3_9","temperaturuli /kalendaruli meTodi - rogor gaigeT am meTodis/saSualebis Sesaxeb? (3)"
"Q70_C3_4_9","temperaturuli /kalendaruli meTodi - rogor gaigeT am meTodis/saSualebis Sesaxeb? (4)"
"Q70_C3_5_9","temperaturuli /kalendaruli meTodi - rogor gaigeT am meTodis/saSualebis Sesaxeb? (5)"
"Q70_C3_6_9","temperaturuli /kalendaruli meTodi - rogor gaigeT am meTodis/saSualebis Sesaxeb? (6)"
"Q70_C4_9","temperaturuli /kalendaruli meTodi - iciT sad unda iSovoT/ miiRoT es meTodi/saSualeba?"
"Q70_C5_9","temperaturuli /kalendaruli meTodi - iciT rogor gamoiyenoT igi?"
"Q70_C6_9","temperaturuli /kalendaruli meTodi - odesme Tu gamogiyenebiaT igi?"
"Q71","Tqveni azriT, aris Tu ara usafrTxo orsuloba da mSobiaroba adreul asakSi (19 wlamde)?"
"Q71_O","Tqveni azriT, aris Tu ara usafrTxo orsuloba da mSobiaroba adreul asakSi (19 wlamde)? (teqsti)"
"Q72","yofilxarT Tu ara orsulad?"
"Q73","ra asakSi daorsuldiT pirvelad?"
"Q74","rogor dasrulda pirveli orsuloba?"
"Q75","ram gamoiwvia adreul asakSi Tqveni arasasurveli orsuloba?"
"Q75_O","ram gamoiwvia adreul asakSi Tqveni arasasurveli orsuloba? (teqsti)"
"Q76_R1","gTxovT, gvipasuxoT ramdenad eTanxmebiT Semdeg mosazrebebs - kacis mTavari movaleobaa ojaxis finansuri uzrunvelyofa"
"Q76_R2","gTxovT, gvipasuxoT ramdenad eTanxmebiT Semdeg mosazrebebs - qalis mTavari movaleobaa bavSvis aRzrda"
"Q76_R3","gTxovT, gvipasuxoT ramdenad eTanxmebiT Semdeg mosazrebebs - qalebisTvis uflebebis miniWeba niSnavs, rom kacebi kargaven uflebebs"
"Q76_R4","gTxovT, gvipasuxoT ramdenad eTanxmebiT Semdeg mosazrebebs - Tanasworoba kacsa da qals Soris ukve miRweulia"
"Q76_R5","gTxovT, gvipasuxoT ramdenad eTanxmebiT Semdeg mosazrebebs - ojaxSi mniSvnelovan Temebze saboloo gadawyvetileba unda miiRos kacma"
"Q76_R6","gTxovT, gvipasuxoT ramdenad eTanxmebiT Semdeg mosazrebebs - mxolod qali aris pasuxismgebeli Tavi daicvas arasasurveli orsulobisgan"
"Q76_R7","gTxovT, gvipasuxoT ramdenad eTanxmebiT Semdeg mosazrebebs - qalma unda moiTminos fizikuri Seuracxyofa raTa SeinarCunos ojaxi"
"Q76_R8","gTxovT, gvipasuxoT ramdenad eTanxmebiT Semdeg mosazrebebs - qalma unda moiTminos regularuli fsiqologiuri Zaladoba (sityvieri Seuracxyofa, muqara, SantaJi) raTa SeinarCunos ojaxi"
"Q76_R9","gTxovT, gvipasuxoT ramdenad eTanxmebiT Semdeg mosazrebebs - biWisTvis qorwinebamde sqesobrivi kavSiri misaRebia"
"Q76_R10","gTxovT, gvipasuxoT ramdenad eTanxmebiT Semdeg mosazrebebs - gogonasTvis qorwinebamde sqesobrivi kavSiri misaRebia"
